,Year,Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
189,2014,#REF!,328,131,197,0,0,0,0.26,1
190,2014,#REF!,11841,2183,8822,496,340,0,1.22,2107
191,2014,#REF!,9628,148,7230,1668,583,0,1.17,1312
192,2014,#REF!,8373,1,5198,2480,517,178,0.45,219
193,2014,#REF!,72013,42516,18985,8526,1985,0,3.08,3046
194,2014,#REF!,1415,404,689,166,156,0,0.17,52
195,2014,#REF!,86232,16612,41230,23633,4757,0,1.27,3980
196,2014,#REF!,128,0,128,0,0,0,0.11,3
197,2014,#REF!,715,0,467,20,228,0,0.1,81
198,2014,#REF!,33,0,33,0,0,0,0.31,3
199,2014,#REF!,12619,0,1243,11262,114,0,9.32,575
200,2014,#REF!,7862,0,3235,3291,1241,96,0.71,239
201,2014,#REF!,94350,37875,21662,25111,9701,0,1.22,3054
202,2014,#REF!,18659,0,5453,12812,394,0,3.52,402
203,2014,#REF!,56,0,56,0,0,0,1.66,0
204,2014,#REF!,3,0,3,0,0,0,0,0
205,2014,#REF!,1426,125,1011,0,291,0,0.04,98
206,2014,#REF!,61985,31649,8151,20874,1310,0,1.38,109
207,2014,#REF!,57641,2157,17922,34852,2176,534,6.34,17317
208,2014,#REF!,114486,31081,44274,37340,1218,573,1.78,10921
209,2014,#REF!,3153,178,2117,475,382,1,0.06,170
210,2014,#REF!,1432855,450047,576531,390719,11314,4244,4.43,30722
211,2014,#REF!,1840,2,1700,25,112,0,0.54,251
212,2014,#REF!,28692,1677,2086,23929,1000,0,0.97,0
213,2014,#REF!,42,0,42,0,0,0,0.16,10
214,2014,#REF!,50510,204,28445,12731,1088,8042,1.65,1256
215,2014,#REF!,45517,19246,12694,5349,8229,0,0.49,761
216,2014,#REF!,6,0,6,0,0,0,0.44,1
217,2014,#REF!,6190,137,5090,581,381,0,0.24,153
218,2014,#REF!,1228,132,797,0,299,0,0.08,33
219,2014,#REF!,3278,2097,1005,0,177,0,0.22,9
